treatment,round_of_ten,Rounds,price,q
notax,1,Rounds 1-10,13,7
notax,1,Rounds 11-20,15,5
notax,2,Rounds 1-10,12.5,9
notax,2,Rounds 11-20,15,8
notax,3,Rounds 1-10,12,8
notax,3,Rounds 11-20,15,8
notax,4,Rounds 1-10,12,11
notax,4,Rounds 11-20,15,9
notax,5,Rounds 1-10,12,11
notax,5,Rounds 11-20,15,8
notax,6,Rounds 1-10,12,8
notax,6,Rounds 11-20,15,10
notax,7,Rounds 1-10,12,10
notax,7,Rounds 11-20,15,10
notax,8,Rounds 1-10,12,9
notax,8,Rounds 11-20,15,10
notax,9,Rounds 1-10,12,10
notax,9,Rounds 11-20,15,9
notax,10,Rounds 1-10,12,8
notax,10,Rounds 11-20,15,11
tax,1,Rounds 1-10,17.5,4
tax,1,Rounds 11-20,17.5,4
tax,2,Rounds 1-10,18,4
tax,2,Rounds 11-20,16,6
tax,3,Rounds 1-10,18,4
tax,3,Rounds 11-20,16.5,6
tax,4,Rounds 1-10,18,6
tax,4,Rounds 11-20,16,6
tax,5,Rounds 1-10,18,7
tax,5,Rounds 11-20,16,7
tax,6,Rounds 1-10,18,5
tax,6,Rounds 11-20,16,5
tax,7,Rounds 1-10,18,5
tax,7,Rounds 11-20,16,6
tax,8,Rounds 1-10,18,6
tax,8,Rounds 11-20,16,8
tax,9,Rounds 1-10,18,5
tax,9,Rounds 11-20,16,7
tax,10,Rounds 1-10,18,7
tax,10,Rounds 11-20,16,6
