treatment,round_of_ten,Rounds,role,tax,q,variable,net_of_tax
notax,1,Rounds 1-10,buyer,0,0,40,40
notax,1,Rounds 1-10,buyer,0,1,29,29
notax,1,Rounds 1-10,buyer,0,2,25,25
notax,1,Rounds 1-10,buyer,0,3,21,21
notax,1,Rounds 1-10,buyer,0,6,19,19
notax,1,Rounds 1-10,buyer,0,8,17,17
notax,1,Rounds 1-10,buyer,0,12,15,15
notax,1,Rounds 1-10,buyer,0,13,11,11
notax,1,Rounds 1-10,buyer,0,13,0,0
notax,1,Rounds 1-10,seller,0,0,0,0
notax,1,Rounds 1-10,seller,0,4,2,2
notax,1,Rounds 1-10,seller,0,7,4,4
notax,1,Rounds 1-10,seller,0,9,6,6
notax,1,Rounds 1-10,seller,0,10,8,8
notax,1,Rounds 1-10,seller,0,11,10,10
notax,1,Rounds 1-10,seller,0,12,12,12
notax,1,Rounds 1-10,seller,0,14,14,14
notax,1,Rounds 1-10,seller,0,17,16,16
notax,1,Rounds 1-10,seller,0,23,18,18
notax,1,Rounds 1-10,seller,0,25,20,20
notax,1,Rounds 1-10,seller,0,25,40,40
notax,1,Rounds 11-20,buyer,0,0,40,40
notax,1,Rounds 11-20,buyer,0,2,29,29
notax,1,Rounds 11-20,buyer,0,5,27,27
notax,1,Rounds 11-20,buyer,0,8,25,25
notax,1,Rounds 11-20,buyer,0,9,23,23
notax,1,Rounds 11-20,buyer,0,11,19,19
notax,1,Rounds 11-20,buyer,0,12,15,15
notax,1,Rounds 11-20,buyer,0,14,11,11
notax,1,Rounds 11-20,buyer,0,14,0,0
notax,1,Rounds 11-20,seller,0,0,0,0
notax,1,Rounds 11-20,seller,0,1,2,2
notax,1,Rounds 11-20,seller,0,2,4,4
notax,1,Rounds 11-20,seller,0,6,6,6
notax,1,Rounds 11-20,seller,0,7,8,8
notax,1,Rounds 11-20,seller,0,9,10,10
notax,1,Rounds 11-20,seller,0,11,12,12
notax,1,Rounds 11-20,seller,0,12,14,14
notax,1,Rounds 11-20,seller,0,14,16,16
notax,1,Rounds 11-20,seller,0,17,20,20
notax,1,Rounds 11-20,seller,0,17,40,40
notax,2,Rounds 1-10,buyer,0,0,40,40
notax,2,Rounds 1-10,buyer,0,1,29,29
notax,2,Rounds 1-10,buyer,0,2,25,25
notax,2,Rounds 1-10,buyer,0,3,21,21
notax,2,Rounds 1-10,buyer,0,6,19,19
notax,2,Rounds 1-10,buyer,0,8,17,17
notax,2,Rounds 1-10,buyer,0,12,15,15
notax,2,Rounds 1-10,buyer,0,13,11,11
notax,2,Rounds 1-10,buyer,0,13,0,0
notax,2,Rounds 1-10,seller,0,0,0,0
notax,2,Rounds 1-10,seller,0,4,2,2
notax,2,Rounds 1-10,seller,0,7,4,4
notax,2,Rounds 1-10,seller,0,9,6,6
notax,2,Rounds 1-10,seller,0,10,8,8
notax,2,Rounds 1-10,seller,0,11,10,10
notax,2,Rounds 1-10,seller,0,12,12,12
notax,2,Rounds 1-10,seller,0,14,14,14
notax,2,Rounds 1-10,seller,0,17,16,16
