oneid,choice,profit,variable,round,treatment,role,numtrans,price,tax,time,Rounds,round_of_ten
1305,12,6.96,1,1,tax,seller,6,18,10,2021-01-29 12:31:46,1-10,1
1305,18,7.5200000000000005,1,2,tax,seller,6,18.5,10,2021-01-29 12:35:40,1-10,2
1305,18,7.6,1,3,tax,seller,8,18.5,10,2021-01-29 12:37:47,1-10,3
1305,18,7.610000000000001,1,4,tax,seller,9,18.5,10,2021-01-29 12:39:35,1-10,4
1305,18,7.6,1,5,tax,seller,8,18.5,10,2021-01-29 12:42:03,1-10,5
1305,18,7.09,1,6,tax,seller,7,18,10,2021-01-29 12:43:46,1-10,6
1305,18,7.09,1,7,tax,seller,7,18,10,2021-01-29 12:45:37,1-10,7
1305,18,7.140000000000001,1,8,tax,seller,7,18.05,10,2021-01-29 12:47:24,1-10,8
1305,18,7.200000000000001,1,9,tax,seller,8,18.1,10,2021-01-29 12:49:42,1-10,9
1305,18,7.249999999999998,1,10,tax,seller,8,18.15,10,2021-01-29 12:51:41,1-10,10
1305,18,5.87,22,11,tax,buyer,6,16,10,2021-01-29 12:53:26,11-20,1
1305,18,5.87,22,12,tax,buyer,9,16,10,2021-01-29 12:55:48,11-20,2
1305,16,5.800000000000001,22,13,tax,buyer,9,16,10,2021-01-29 12:57:59,11-20,3
1305,16,5.87,22,14,tax,buyer,9,16,10,2021-01-29 13:00:02,11-20,4
1305,16,5.96,22,15,tax,buyer,7,16,10,2021-01-29 13:01:56,11-20,5
1305,16,5.890000000000001,22,16,tax,buyer,8,16,10,2021-01-29 13:03:26,11-20,6
1305,16,5.9,22,17,tax,buyer,7,16,10,2021-01-29 13:05:25,11-20,7
1305,16,5.890000000000001,22,18,tax,buyer,8,16,10,2021-01-29 13:07:32,11-20,8
1305,16,5.9,22,19,tax,buyer,7,16,10,2021-01-29 13:09:22,11-20,9
1305,16,5.890000000000001,22,20,tax,buyer,8,16,10,2021-01-29 13:11:33,11-20,10
6185,15,-0.039999999999999813,28,1,tax,buyer,6,18,10,2021-01-29 12:30:54,1-10,1
6185,18,0.02000000000000024,28,2,tax,buyer,6,18.5,10,2021-01-29 12:35:34,1-10,2
6185,19,9.52,28,3,tax,buyer,8,18.5,10,2021-01-29 12:37:47,1-10,3
6393,10,4.96,3,1,tax,seller,6,18,10,2021-01-29 12:31:23,1-10,1
6393,18,5.5200000000000005,3,2,tax,seller,6,18.5,10,2021-01-29 12:36:05,1-10,2
6393,18,5.52,3,3,tax,seller,8,18.5,10,2021-01-29 12:38:04,1-10,3
6393,18,5.61,3,4,tax,seller,9,18.5,10,2021-01-29 12:39:41,1-10,4
6393,18,5.6,3,5,tax,seller,8,18.5,10,2021-01-29 12:41:46,1-10,5
6393,18.5,0.1599999999999997,3,6,tax,seller,7,18,10,2021-01-29 12:43:43,1-10,6
6393,18,5.09,3,7,tax,seller,7,18,10,2021-01-29 12:45:40,1-10,7
6393,18,5.140000000000001,3,8,tax,seller,7,18.05,10,2021-01-29 12:47:41,1-10,8
6393,18,5.200000000000001,3,9,tax,seller,8,18.1,10,2021-01-29 12:49:38,1-10,9
6393,18,5.249999999999998,3,10,tax,seller,8,18.15,10,2021-01-29 12:51:39,1-10,10
6393,20,-3,10,11,notax,seller,10,16,0,2021-01-29 12:53:46,11-20,1
6393,18,-2.6999999999999997,10,12,notax,seller,9,16,0,2021-01-29 12:55:40,11-20,2
6393,16,-3,10,13,notax,seller,10,15.5,0,2021-01-29 12:57:34,11-20,3
6393,16,-3.3,10,14,notax,seller,11,15,0,2021-01-29 12:59:39,11-20,4
6393,15,1.4000000000000004,10,15,notax,seller,12,15,0,2021-01-29 13:01:37,11-20,5
6393,15,1.1,10,16,notax,seller,13,15,0,2021-01-29 13:03:45,11-20,6
6393,15,1.4000000000000004,10,17,notax,seller,12,15,0,2021-01-29 13:05:34,11-20,7
6393,15,1.4000000000000004,10,18,notax,seller,12,15,0,2021-01-29 13:07:40,11-20,8
6393,15,1.4000000000000004,10,19,notax,seller,12,15,0,2021-01-29 13:09:30,11-20,9
6393,15,1.4000000000000004,10,20,notax,seller,12,15,0,2021-01-29 13:11:39,11-20,10
8278,19,-0.039999999999999813,18,1,tax,buyer,6,18,10,2021-01-29 12:30:39,1-10,1
8278,19,-0.47999999999999976,18,2,tax,buyer,6,18.5,10,2021-01-29 12:36:16,1-10,2
8278,16,0.10000000000000009,18,3,tax,buyer,8,18.5,10,2021-01-29 12:37:52,1-10,3
8278,18,0.11000000000000032,18,4,tax,buyer,9,18.5,10,2021-01-29 12:39:40,1-10,4
8278,18,0.10000000000000009,18,5,tax,buyer,8,18.5,10,2021-01-29 12:41:49,1-10,5
8278,17,0.1599999999999997,18,6,tax,buyer,7,18,10,2021-01-29 12:43:40,1-10,6
8278,17,0.08999999999999986,18,7,tax,buyer,7,18,10,2021-01-29 12:45:31,1-10,7
8278,14,0.08999999999999986,18,8,tax,buyer,7,18.05,10,2021-01-29 12:47:30,1-10,8
8278,18,0.10000000000000009,18,9,tax,buyer,8,18.1,10,2021-01-29 12:49:39,1-10,9
8278,18.3,-0.04999999999999849,18,10,tax,buyer,8,18.15,10,2021-01-29 12:51:35,1-10,10
8278,18.1,10,29,11,notax,buyer,10,16,0,2021-01-29 12:53:45,11-20,1
8278,18.5,10.3,29,12,notax,buyer,9,16,0,2021-01-29 12:55:57,11-20,2
8278,20,10.5,29,13,notax,buyer,10,15.5,0,2021-01-29 12:57:33,11-20,3
8278,20,10.7,29,14,notax,buyer,11,15,0,2021-01-29 13:00:03,11-20,4
8278,27,10.4,29,15,notax,buyer,12,15,0,2021-01-29 13:01:52,11-20,5
8278,29,10.1,29,16,notax,buyer,13,15,0,2021-01-29 13:03:32,11-20,6
8278,18,10.4,29,17,notax,buyer,12,15,0,2021-01-29 13:05:30,11-20,7
8278,21,10.4,29,18,notax,buyer,12,15,0,2021-01-29 13:07:26,11-20,8
8278,23,10.4,29,19,notax,buyer,12,15,0,2021-01-29 13:09:30,11-20,9
8278,25,10.4,29,20,notax,buyer,12,15,0,2021-01-29 13:11:39,11-20,10
9275,14,-3.5999999999999996,19,1,notax,buyer,12,15,0,2021-01-29 12:30:58,1-10,1
